# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
10.7000  -8.859279909965753e-02  -1.777404624224778e-01  1.579583599107812e-02  1.549268133309223e-01
10.7100  -9.019338724985279e-02  -1.422777574416478e-01  1.012148013131219e-02  1.605754455517968e-01
10.7200  -9.143660143463303e-02  -1.062892727913602e-01  5.648704755258088e-03  1.650326571673088e-01
10.7300  -9.231789490330121e-02  -6.991749310443110e-02  2.444227921004085e-03  1.682292569629189e-01
10.7400  -9.283415307142909e-02  -3.330627253456848e-02  5.546538950734755e-04  1.701160540506824e-01
10.7500  -9.298370437510484e-02  3.399734055320209e-03  5.779095823451997e-06  1.706645929016588e-01
10.7600  -9.276632542223541e-02  4.005564249474583e-02  8.022272478334440e-04  1.698675602275174e-01
10.7700  -9.218324042628455e-02  7.651691104065966e-02  2.927418837602112e-03  1.677388579566363e-01
10.7800  -9.123711493039442e-02  1.126399101902971e-01  6.343874683839093e-03  1.643133418221078e-01
10.7900  -8.993204385235336e-02  1.482824883260968e-01  1.099384817208952e-02  1.596462303482620e-01
10.8000  -8.827353390324370e-02  1.833045309656361e-01  1.680027553626592e-02  1.538121942055774e-01
10.8100  -8.626848045474395e-02  2.175685114169715e-01  2.366802858009843e-02  1.469041409196633e-01
10.8200  -8.392513895188232e-02  2.509400306758783e-01  3.148544949780537e-02  1.390317146897129e-01
10.8300  -8.125309098945795e-02  2.832883444460769e-01  4.012614304949956e-02  1.303195355207519e-01
10.8400  -7.826320519127765e-02  3.144868752164504e-01  4.945099734170363e-02  1.209052059327226e-01
10.8500  -7.496759305171698e-02  3.444137073902611e-01  5.931040091915220e-02  1.109371171147556e-01
10.8600  -7.137955991882709e-02  3.729520635302372e-01  6.954662084573104e-02  1.005720894890223e-01
10.8700  -6.751355131719404e-02  3.999907598598185e-01  7.999630398661750e-02  8.997288518755059e-02
10.8800  -6.338509482694150e-02  4.254246392445404e-01  9.049306183817367e-02  7.930563188844458e-02
10.8900  -5.901073775258123e-02  4.491549799681372e-01  1.008700980150889e-01  6.873719877565317e-02
10.9000  -5.440798083178860e-02  4.710898787151137e-01  1.109628369139103e-01  5.843256605927220e-02
10.9100  -4.959520824955189e-02  4.911446062748620e-01  1.206115121364446e-01  4.855222951202523e-02
10.9200  -4.459161423745228e-02  5.092419345914896e-01  1.296636739732415e-01  3.924968084306676e-02
10.9300  -3.941712655102190e-02  5.253124338979274e-01  1.379765766038822e-01  3.066900345388478e-02
10.9400  -3.409232713014934e-02  5.392947387921517e-01  1.454194076444476e-01  2.294262122424411e-02
10.9500  -2.863837025830872e-02  5.511357822370068e-01  1.518753252309987e-01  1.618923548992717e-02
10.9600  -2.307689854593907e-02  5.607909965926579e-01  1.572432709296932e-01  1.051198233884504e-02
10.9700  -1.742995707155810e-02  5.682244809216416e-01  1.614395303593345e-01  5.996838816821952e-03
10.9800  -1.171990602112825e-02  5.734091339402749e-01  1.643990174430681e-01  2.711302655700184e-03
10.9900  -5.969332171776172e-03  5.763267521263246e-01  1.660762626082390e-01  7.033657779361464e-04
11.0000  -2.009595701794134e-04  5.769680926307704e-01  1.664460899569946e-01  7.971629899084500e-07
11.0100  5.562440241239349e-03  5.753329007806812e-01  1.655039733603566e-01  6.107457557262499e-04
11.0200  1.129813809573947e-02  5.714299021001066e-01  1.632660665070687e-01  2.519669033496385e-03
11.0300  1.698353681670912e-02  5.652767589159229e-01  1.597689070852452e-01  5.693587706647896e-03
11.0400  2.259626022189802e-02  5.568999917552038e-01  1.550688004084730e-01  1.007866188808273e-02
11.0500  2.811424116696264e-02  5.463348658793579e-01  1.492408928377080e-01  1.560207901211013e-02
11.0600  3.351580828198998e-02  5.336252434374547e-01  1.423779502168414e-01  2.217323889070174e-02
11.0700  3.877977106016806e-02  5.188234018562934e-01  1.345888611568684e-01  2.968521664309979e-02
11.0800  4.388550296461183e-02  5.019898192173339e-01  1.259968892989258e-01  3.801647989536883e-02
11.0900  4.881302222750467e-02  4.831929275000839e-01  1.167377025930507e-01  4.703283268765984e-02
11.1000  5.354307002514403e-02  4.625088346974063e-01  1.069572110865764e-01  5.658955501028196e-02
11.1100  5.805718572314713e-02  4.400210169299970e-01  9.680924767005436e-02  6.653370386967240e-02
11.1200  6.233777889793491e-02  4.158199818044945e-01  8.645312863394508e-02  7.670653930860766e-02
11.1300  6.636819785362261e-02  3.900029043718706e-01  7.605113270924721e-02  8.694603690944340e-02
11.1400  7.013279436755016e-02  3.626732371494762e-01  6.576593847224012e-02  9.708944702351066e-02
11.1500  7.361698441282841e-02  3.339402957709620e-01  5.575806056979880e-02  1.069758603130661e-01
11.1600  7.680730462239813e-02  3.039188219228652e-01  4.618332515949113e-02  1.164487391734885e-01
11.1700  7.969146427613102e-02  2.727285253145942e-01  3.719042426013663e-02  1.253583752217472e-01
11.1800  8.225839261038145e-02  2.404936065094966e-01  2.891858738597230e-02  1.335642342815319e-01
11.1900  8.449828126804775e-02  2.073422625183682e-01  2.149540691311795e-02  1.409371521449662e-01
